title,release_date,original_price,price,discount_percentage,review_summary,url,platforms,images,videos,audio
Umamusume: Pretty Derby,"24 Jun, 2025",N/A,Free,N/A,"Very Positive<br>94% of the 33,124 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/3224770/Umamusume_Pretty_Derby/?snr=1_7_7_7000_150_2,Windows,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3224770/header.jpg?t=1760517179,N/A,N/A
Farming Simulator 25,"12 Nov, 2024",N/A,"29,99€",N/A,"Very Positive<br>83% of the 11,242 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/2300320/Farming_Simulator_25/?snr=1_7_7_7000_150_2,"Windows, Mac",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2300320/c2a205133d23cd24faf3c152d972a1d0177661b8/header.jpg?t=1764249746,N/A,N/A
Dungeons 4,"9 Nov, 2023","49,99€","29,99€",-40%,"Very Positive<br>85% of the 1,119 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/1643310/Dungeons_4/?snr=1_7_7_7000_150_2,Windows,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1643310/46e521269bd27cc7ee1737f3350792577b0b3f32/header_alt_assets_5.jpg?t=1765285180,N/A,N/A
Jurassic World Evolution 3: Wetlands,"9 Dec, 2025",N/A,"9,99€",N/A,Positive<br>100% of the 14 user reviews for this game are positive.,https://store.steampowered.com/app/4131660/Jurassic_World_Evolution_3_Wetlands/?snr=1_7_7_7000_150_2,Windows,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/4131660/7b09cab6f1e9f78675ba2644e84232455dcee328/header.jpg?t=1765291573,N/A,N/A
American Truck Simulator,"2 Feb, 2016","19,99€","4,99€",-75%,"Overwhelmingly Positive<br>97% of the 87,615 user reviews for this game are positive.<br><br>This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/270880/American_Truck_Simulator/?snr=1_7_7_7000_150_2,"Windows, Mac, Linux",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/270880/a80e5a18363259677ca96c2a39503ea595d2a45f/header.jpg?t=1764952453,N/A,N/A
Grand Theft Auto V Enhanced,"4 Mar, 2025","44,99€","19,79€",-56%,"Mostly Positive<br>75% of the 40,339 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/3240220/Grand_Theft_Auto_V_Enhanced/?snr=1_7_7_7000_150_2,Windows,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3240220/header.jpg?t=1753974947,N/A,N/A
ELDEN RING NIGHTREIGN,"29 May, 2025",N/A,"39,99€",N/A,"Very Positive<br>87% of the 66,936 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/2622380/ELDEN_RING_NIGHTREIGN/?snr=1_7_7_7000_150_2,Windows,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2622380/header.jpg?t=1764808750,N/A,N/A
Digimon Story Time Stranger,"2 Oct, 2025",N/A,"69,99€",N/A,"Very Positive<br>94% of the 6,338 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/1984270/Digimon_Story_Time_Stranger/?snr=1_7_7_7000_150_2,Windows,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1984270/723bccb3bf302c7c065201b578fbc7030b4e3c41/header.jpg?t=1765257064,N/A,N/A
Dungeons 4 - Double Trouble,"9 Dec, 2025","14,99€","13,49€",-10%,N/A,https://store.steampowered.com/app/4099960/Dungeons_4__Double_Trouble/?snr=1_7_7_7000_150_2,Windows,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/4099960/54641c7202b39edfd4429e6c78100041bca2d689/header.jpg?t=1765285154,N/A,N/A
Metro Exodus,"14 Feb, 2020","29,99€","4,49€",-85%,"Very Positive<br>87% of the 32,695 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/412020/Metro_Exodus/?snr=1_7_7_7000_150_2,"Windows, Mac, Linux",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/412020/header.jpg?t=1750772804,N/A,N/A
Destiny 2,"1 Oct, 2019",N/A,Free,N/A,"Mostly Positive<br>78% of the 374,550 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/1085660/Destiny_2/?snr=1_7_7_7000_150_2,Windows,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1085660/header.jpg?t=1765299718,N/A,N/A
Mount & Blade II: Bannerlord - War Sails,"26 Nov, 2025","24,99€","22,49€",-10%,"Mixed<br>59% of the 1,634 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/2927200/Mount__Blade_II_Bannerlord__War_Sails/?snr=1_7_7_7000_150_2,Windows,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2927200/38ac971be66bee7d697a27f5235b0d04dee8ca88/header.jpg?t=1764863770,N/A,N/A
Dispatch,"22 Oct, 2025",N/A,"28,99€",N/A,"Overwhelmingly Positive<br>97% of the 80,832 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/2592160/Dispatch/?snr=1_7_7_7000_150_2,Windows,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2592160/header.jpg?t=1764278303,N/A,N/A
World of Tanks,"28 Apr, 2021",N/A,Free,N/A,"Mostly Positive<br>75% of the 23,443 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/1407200/World_of_Tanks/?snr=1_7_7_7000_150_2,Windows,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1407200/4468c9925879301585eb0255b27a8e2f5245c3aa/header_alt_assets_23.jpg?t=1764929929,N/A,N/A
EA SPORTS FC™ 26,"25 Sep, 2025",N/A,"69,99€",N/A,"Mixed<br>46% of the 7,802 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/3405690/EA_SPORTS_FC_26/?snr=1_7_7_7000_150_2,Windows,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3405690/2d96aa1b06e453cd62dae9029d412f19e61932c3/header.jpg?t=1761904811,N/A,N/A
"Warhammer 40,000: Darktide","30 Nov, 2022","39,99€","9,99€",-75%,"Mostly Positive<br>74% of the 68,655 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/1361210/Warhammer_40000_Darktide/?snr=1_7_7_7000_150_2,Windows,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1361210/e84f66c5a077d7c2ba192638c6cbcb90a8260649/header_alt_assets_19.jpg?t=1765226165,N/A,N/A
theHunter: Call of the Wild™ - Premium Trophy Mount Pack,"9 Dec, 2025",N/A,"3,99€",N/A,N/A,https://store.steampowered.com/app/4089880/theHunter_Call_of_the_Wild__Premium_Trophy_Mount_Pack/?snr=1_7_7_7000_150_2,Windows,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/4089880/12832fd38f0ea98a7b89e66813ac31117f2b1bdc/header.jpg?t=1765292337,N/A,N/A
Cyberpunk 2077: Phantom Liberty,"25 Sep, 2023","29,99€","20,99€",-30%,"Very Positive<br>91% of the 9,956 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/2138330/Cyberpunk_2077_Phantom_Liberty/?snr=1_7_7_7000_150_2,"Windows, Mac",N/A,N/A,N/A
MIMESIS,"27 Oct, 2025",N/A,"9,75€",N/A,Very Positive<br>82% of the 859 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.,https://store.steampowered.com/app/2827200/MIMESIS/?snr=1_7_7_7000_150_2,Windows,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2827200/8a2a6edc97fbf23ea6941974bdf4ed9a6ab34eb4/header.jpg?t=1764658096,N/A,N/A
Frostpunk 2,"20 Sep, 2024","44,99€","26,99€",-40%,"Mostly Positive<br>78% of the 8,529 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/1601580/Frostpunk_2/?snr=1_7_7_7000_150_2,"Windows, Mac",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1601580/02535047c12281fa743dc2c17caf3fda4f454941/header_alt_assets_4.jpg?t=1765296555,N/A,N/A
Le Mans Ultimate - ELMS Pack 2,"9 Dec, 2025",N/A,"9,99€",N/A,N/A,https://store.steampowered.com/app/3954010/Le_Mans_Ultimate__ELMS_Pack_2/?snr=1_7_7_7000_150_2,Windows,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3954010/f078d12a03b17163d3d16835d109e8e319996bae/header.jpg?t=1765276680,N/A,N/A
The Witcher 3: Wild Hunt,"18 May, 2015","29,99€","2,99€",-90%,"Overwhelmingly Positive<br>96% of the 229,237 user reviews for this game are positive.<br><br>This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/292030/The_Witcher_3_Wild_Hunt/?snr=1_7_7_7000_150_2,Windows,N/A,N/A,N/A
Enshrouded,"24 Jan, 2024",N/A,"29,99€",N/A,"Very Positive<br>87% of the 41,890 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/1203620/Enshrouded/?snr=1_7_7_7000_150_2,Windows,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1203620/7b462e81072e94d96cb4242a75f8adddd9ec1cbd/header.jpg?t=1765290696,N/A,N/A
War Thunder,"15 Aug, 2013",N/A,Free,N/A,"Mostly Positive<br>74% of the 288,456 user reviews for this game are positive.<br><br>This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/236390/War_Thunder/?snr=1_7_7_7000_150_2,"Windows, Mac, Linux",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/236390/13cc34351236cea7e7021700ed7b11ea7dfd5c27/header.jpg?t=1765279032,N/A,N/A
The Alters,"13 Jun, 2025","48,58€","23,74€",-51%,"Very Positive<br>89% of the 4,340 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/1601570/The_Alters/?snr=1_7_7_7000_150_2,Windows,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1601570/96e64d63ba1e32d163ba42ff0ae247a9a95420c2/header_alt_assets_3.jpg?t=1765293485,N/A,N/A
Steam Deck,"17 Jan, 2025",N/A,"419,00€",N/A,N/A,https://store.steampowered.com/app/1675200/Steam_Deck/?snr=1_7_7_7000_150_1,"Windows, Mac, Linux",N/A,N/A,N/A
theHunter: Call of the Wild™,"16 Feb, 2017","19,50€","2,14€",-89%,"Very Positive<br>90% of the 58,088 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/518790/theHunter_Call_of_the_Wild/?snr=1_7_7_7000_150_1,Windows,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/518790/a444f68c73ce903da950ab3351cffe6710cee6d7/header_alt_assets_24.jpg?t=1765292276,N/A,N/A
Counter-Strike 2,"21 Aug, 2012",N/A,Free,N/A,"Very Positive<br>86% of the 2,447,558 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_7000_150_1,"Windows, Linux",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/730/header.jpg?t=1749053861,N/A,N/A
ARC Raiders,"30 Oct, 2025",N/A,"39,99€",N/A,"Very Positive<br>88% of the 109,448 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/1808500/ARC_Raiders/?snr=1_7_7_7000_150_1,Windows,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1808500/04baafaf64a5aa5f46ecda5d71889a4848dc0628/header.jpg?t=1764755475,N/A,N/A
Train Sim World® 6,"30 Sep, 2025",N/A,"39,99€",N/A,Mostly Positive<br>78% of the 657 user reviews for this game are positive.,https://store.steampowered.com/app/3656800/Train_Sim_World_6/?snr=1_7_7_7000_150_1,Windows,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3656800/ea750f90cc32c79a12a471b1e67fcc57e23173f9/header.jpg?t=1765304314,N/A,N/A
Train Sim World® 6: Frankenbahn: Stuttgart - Heilbronn Route Add-On,"9 Dec, 2025",N/A,"35,99€",N/A,N/A,https://store.steampowered.com/app/4035820/Train_Sim_World_6_Frankenbahn_Stuttgart__Heilbronn_Route_AddOn/?snr=1_7_7_7000_150_1,Windows,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/4035820/e0d3b6fda0f3bea01c63834337884cc569296f5b/header.jpg?t=1765303208,N/A,N/A
theHunter: Call of the Wild™ - Scotland Hunting Reserve,"9 Dec, 2025",N/A,"11,79€",N/A,N/A,https://store.steampowered.com/app/4010590/theHunter_Call_of_the_Wild__Scotland_Hunting_Reserve/?snr=1_7_7_7000_150_1,Windows,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/4010590/5d4690a98804ba2249d7c60d8631681e714bbc68/header.jpg?t=1765292310,N/A,N/A
Euro Truck Simulator 2,"12 Oct, 2012","19,99€","4,99€",-75%,"Overwhelmingly Positive<br>97% of the 134,180 user reviews for this game are positive.<br><br>This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/227300/Euro_Truck_Simulator_2/?snr=1_7_7_7000_150_1,"Windows, Mac, Linux",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/227300/9a81dc3126c56637297b654f9dcac057cfd79b77/header.jpg?t=1764266628,N/A,N/A
IdleOn,"6 Nov, 2025",N/A,Free,N/A,"Very Positive<br>80% of the 19,422 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/1476970/IdleOn/?snr=1_7_7_7000_150_1,Windows,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1476970/header.jpg?t=1764696801,N/A,N/A
Anno 117: Pax Romana,"12 Nov, 2025",N/A,"59,99€",N/A,"Mixed<br>68% of the 3,578 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/3274580/Anno_117_Pax_Romana/?snr=1_7_7_7000_150_1,Windows,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3274580/b3d3313f3ed4ccc363e7ab1f1b969837530f2073/header_alt_assets_2.jpg?t=1764100083,N/A,N/A
Battlefield™ 6,"10 Oct, 2025",N/A,"69,99€",N/A,"Mostly Positive<br>73% of the 119,282 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/2807960/Battlefield_6/?snr=1_7_7_7000_150_1,Windows,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2807960/c12d12ce3c7d217398d3fcad77427bfc9d57c570/header.jpg?t=1764700003,N/A,N/A
Total War: WARHAMMER III,"16 Feb, 2022","59,99€","14,99€",-75%,"Mixed<br>68% of the 50,608 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/1142710/Total_War_WARHAMMER_III/?snr=1_7_7_7000_150_1,"Windows, Mac, Linux",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1142710/header.jpg?t=1764870033,N/A,N/A
Cyberpunk 2077,"9 Dec, 2020","59,99€","20,99€",-65%,"Very Positive<br>88% of the 357,117 user reviews for this game are positive.<br><br>This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/1091500/Cyberpunk_2077/?snr=1_7_7_7000_150_1,"Windows, Mac",N/A,N/A,N/A
Clair Obscur: Expedition 33,"24 Apr, 2025","49,99€","39,99€",-20%,"Overwhelmingly Positive<br>97% of the 80,804 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/1903340/Clair_Obscur_Expedition_33/?snr=1_7_7_7000_150_1,Windows,N/A,N/A,N/A
UNBEATABLE,"9 Dec, 2025","27,99€","25,19€",-10%,N/A,https://store.steampowered.com/app/2240620/UNBEATABLE/?snr=1_7_7_7000_150_1,Windows,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2240620/a3fe80f8848d0583be61f24292799e7f796e6319/header.jpg?t=1765302357,N/A,N/A
Mount & Blade II: Bannerlord,"25 Oct, 2022","49,99€","24,99€",-50%,"Very Positive<br>87% of the 93,694 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/261550/Mount__Blade_II_Bannerlord/?snr=1_7_7_7000_150_1,Windows,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/261550/header.jpg?t=1764252300,N/A,N/A
Star Wars Outlaws,"21 Nov, 2024","69,99€","20,99€",-70%,"Mostly Positive<br>72% of the 4,499 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/2842040/Star_Wars_Outlaws/?snr=1_7_7_7000_150_1,Windows,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2842040/header.jpg?t=1748385237,N/A,N/A
Where Winds Meet,"14 Nov, 2025",N/A,Free,N/A,"Very Positive<br>88% of the 44,718 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/3564740/Where_Winds_Meet/?snr=1_7_7_7000_150_1,Windows,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3564740/6d94b048393d5358690a04a7db99f2c9739c703c/header.jpg?t=1763157550,N/A,N/A
Jurassic World Evolution 3,"21 Oct, 2025","59,99€","47,99€",-20%,"Very Positive<br>93% of the 3,548 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/2958130/Jurassic_World_Evolution_3/?snr=1_7_7_7000_150_1,Windows,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2958130/e2ee818c1321037457a44e4868e16c0841be7e5e/header_alt_assets_0.jpg?t=1765290696,N/A,N/A
Rust,"8 Feb, 2018","39,99€","19,99€",-50%,"Very Positive<br>86% of the 506,430 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/252490/Rust/?snr=1_7_7_7000_150_1,"Windows, Mac",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/252490/header.jpg?t=1761667247,N/A,N/A
Call of Duty®: Black Ops 7,"13 Nov, 2025",N/A,"79,99€",N/A,"Mostly Negative<br>35% of the 1,414 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/3606480/Call_of_Duty_Black_Ops_7/?snr=1_7_7_7000_150_1,Windows,N/A,N/A,N/A
Le Mans Ultimate,"22 Jul, 2025",N/A,"39,99€",N/A,"Mostly Positive<br>77% of the 4,466 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/2399420/Le_Mans_Ultimate/?snr=1_7_7_7000_150_1,Windows,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2399420/f510badbf573eecdf529ae735a49331f4b9919be/header.jpg?t=1765276010,N/A,N/A
RV There Yet?,"21 Oct, 2025","7,79€","7,01€",-10%,"Very Positive<br>91% of the 20,457 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/3949040/RV_There_Yet/?snr=1_7_7_7000_150_1,Windows,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3949040/cae24b4ed7f4531be51f0d63f785b7d253f92dc3/header.jpg?t=1761681404,N/A,N/A
Euro Truck Simulator 2 - Nordic Horizons,"27 Nov, 2025",N/A,"17,99€",N/A,Very Positive<br>92% of the 867 user reviews for this game are positive.,https://store.steampowered.com/app/2780810/Euro_Truck_Simulator_2__Nordic_Horizons/?snr=1_7_7_7000_150_1,"Windows, Mac, Linux",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2780810/755876b6f5502e6f99963003277519a3b96ba55b/header.jpg?t=1764346665,N/A,N/A
The Wandering Village,"17 Jul, 2025","29,99€","14,99€",-50%,"Very Positive<br>92% of the 3,511 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/1121640/The_Wandering_Village/?snr=1_7_7_7000_150_1,"Windows, Mac, Linux",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1121640/43221e9a5309b5fac2e5960b0d5132d508edb7eb/header_alt_assets_2.jpg?t=1765198691,N/A,N/A
